Variable,Parents,ParentConfig,Low,Mid,High
Temperature,,(no-parents),0,3326481031582882,0,3662399551485704,0,3011119416931415
Humidity,Temperature,Temperature=High,0,7958107059736229,0,19239720713731576,0,011792086889061288
Humidity,Temperature,Temperature=Mid,0,2747799464217375,0,4700854700854701,0,25513458349279244
Humidity,Temperature,Temperature=Low,0,007303370786516854,0,2747191011235955,0,7179775280898877
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Mid|HarvestHostvete=High|HarvestSlattervallTotal=High,0,49740932642487046,0,34196891191709844,0,16062176165803108
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=Mid|HarvestSlattervallTotal=Mid,0,4963350785340314,0,4816753926701571,0,02198952879581152
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=Low|HarvestSlattervallTotal=Low,0,16381304951411382,0,32577510411846367,0,5104118463674225
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=Missing|HarvestSlattervallTotal=Missing,0,046511627906976744,0,023255813953488372,0,9302325581395349
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Mid|HarvestHostvete=Missing|HarvestSlattervallTotal=Missing,0,6666666666666666,0,0,3333333333333333
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Mid|HarvestHostvete=Missing|HarvestSlattervallTotal=Low,0,40625,0,5625,0,03125
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=Low,0,2631578947368421,0,10526315789473684,0,631578947368421
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=Low,0,3302325581395349,0,18604651162790697,0,48372093023255813
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=High|HarvestHostvete=Missing|HarvestSlattervallTotal=Missing,0,38461538461538464,0,07692307692307693,0,5384615384615384
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=Missing|HarvestSlattervallTotal=Low,0,337696335078534,0,22774869109947643,0,43455497382198954
