Name;ExplanationDegree (R2); SampleCorrelation (r);DistanceLossCorrelation;Mean;StdDev;ModelA;ModelK;Fisher-Z-corr (r);Fzc-CI-low;Fzc-CI-high;BootstrapR_StdDev
ClPpm;0,00011121445208633486;-0.0105458262875099;;92,55430711610487;141,94424912461432;;;;-0.07975968337322296;0.058769230573260424;0.039655732306040345
CoPpm;0,053350661771335114;-0.23097762179772982;;20,6167290886392;7,428773101109305;;;;-0.29552131310593993;-0.16433490726604694;0.030109581910322095
CrPpm;0,10479326870505938;-0.3237178844380696;;50,679151061173535;25,91921444176892;;;;-0.3843706408510605;-0.2602824978959806;0.029998712711114997
CuPpm;0,05854429021143203;-0.24195927386945107;;16,378277153558052;10,762805281528133;;;;-0.30610083184450443;-0.17563090516884483;0.033510892804781235
Fe2O3;0,016419952027262617;-0.12814036064902665;;36,008739076154804;17,500390668013218;;;;-0.19567555985712595;-0.05939546367706457;0.03674313288013383
K2O;0,001978558058898367;0.04448098536339283;;26,258426966292134;9,714390460675961;;;;-0.024867763555624138;0.11340367954438228;0.0386717853729212
MgO;0,009443163558261542;-0.09717594125225411;;12,724094881398253;7,27770782671208;;;;-0.16533509824332862;-0.028092927076979447;0.03333608474024492
MnO;0,011825891104428122;-0.10874691307999562;;60,57677902621723;47,347670588027434;;;;-0.17668802336125441;-0.03977441483415753;0.028042204771133703
MoPpm;0,0026120604204497447;-0.05110832046203186;;3,686641697877653;14,90856914102455;;;;-0.11995575534482264;0.018228338889069225;0.023252493627419588
Na2O;0,02329900914925505;-0.15264012955070186;;18,757802746566792;9,280693248138437;;;;-0.21959036961341713;-0.08425893468352749;0.03842733848326611
NiPpm;0,06994439729761864;-0.2644700310009031;;18,89887640449438;13,014261839841511;;;;-0.3277378660079664;-0.1988407491510278;0.025757643919752937
P2O5;0,025116096310706815;-0.158480586542033;;175,16104868913857;127,8869726786075;;;;-0.2252795273384107;-0.09019868956010253;0.03369716284210549
PbPpm;0,0007567832700045814;-0.027509694109614912;;27,862671660424468;13,364734092128739;;;;-0.0965977362257858;0.04184216669192625;0.03551899141856679
RbPpm;0,056542166794452654;0.23778596845577885;;102,14606741573034;26,850416898820193;;;;0.17133608189416027;0.30208221271184277;0.029455709041634776
SPpm;0,00381711306066563;-0.06178278935646747;;273,7182741116751;283,9223712668394;;;;-0.1310587781254809;0.008093642548233677;0.03679946984527363
SiO2;0,12121812853781302;0.348163939169198;;71,06741573033707;6,962969871987262;;;;0.28578437863022743;0.4076054132237213;0.026943205502668956
SrPpm;0,15984246112867612;-0.3998030279133415;;154,28339575530586;64,40450944192054;;;;-0.456434115603858;-0.3399457716627318;0.02523805763296261
TiO2;0,04421896562088169;-0.21028306070837396;;58,850187265917604;27,190485984805196;;;;-0.2755414403253729;-0.14309537175634957;0.0387659056837844
VPpm;0,059868577907484566;-0.24468056299486596;;68,16978776529338;30,76217053590174;;;;-0.3087200239544119;-0.1784327931026021;0.03366309231544761
ZnPpm;0,010723175911488662;-0.10355276872922646;;64,19475655430712;64,83814095477992;;;;-0.17159399412728446;-0.03452832740945697;0.021462474409821238
ZrPpm;0,01161959067637905;-0.10779420520778958;;424,53183520599254;152,54031204161345;;;;-0.17575395105182706;-0.03881189473967823;0.030881921144773297
HarvestHostvete;0,005512908565725266;0.07424896339832136;;295539,8635235732;797655,2543316212;;;;0.005218913721587841;0.1425747353171802;0.014698999498689391
HarvestVarvete;0,00922686528106223;0.09605657333604103;;24798,85404101327;64115,73798609524;;;;0.028149092991499838;0.16308150863043622;0.01382194148351223
HarvestRag;0,23003422725668055;0.47961883538564304;;33494,777517564406;58200,04584024977;;;;0.40306501272961104;0.5495072481033982;0.038521704351242934
HarvestHostkorn;0,2262842796306902;0.4756934723439982;;25154,709976798145;40717,97498444994;;;;0.39917168864696306;0.5456342635910045;0.04191990289434566
HarvestVarkorn;0,017123091431682235;0.13085523081513492;;104920,42417815482;316979,9392271244;;;;0.067578573308088;0.19308342633536338;0.011511280461214794
HarvestHavre;0,007968773801687092;0.08926798867279968;;63122,860492379834;178865,85062810546;;;;0.02227511706187619;0.1554627686837825;0.012719722085908138
HarvestArter;0,0031061099488881956;-0.055732485579670636;;12706,689075630253;24015,411009502863;;;;-0.13550713913539722;0.024760144958014128;0.020122176298559016
HarvestAkerbonor;0,03644829190158655;0.19091435750510372;;11031,326530612245;17848,745302420175;;;;0.10409145684258772;0.2748494301729929;0.02648788840487297
HarvestMatpotatis;0,1950503130109939;0.44164500790906025;;114690,32183908045;170640,9680521546;;;;0.36268318243999925;0.5143106031373742;0.04012370690157163
HarvestPotatisStarkelse;0,7406549641073336;0.8606131326602758;;154293,70656370657;165748,13360626472;;;;0.8252965958077544;0.8892236620951628;0.024485390217347393
HarvestSockerbetor;0,8560335497148223;0.9252208113282052;;685526,5151515151;938520,7361705087;;;;0.9056542479913489;0.9408553682112021;0.010424669283104062
HarvestHostraps;0,06995325428474518;0.2644867752549174;;35879,5415959253;80159,53562952185;;;;0.18770731628435725;0.33805363574298025;0.022342103040639143
HarvestVarraps;0,0013868597331468658;-0.03724056569316403;;8846,110056925996;14284,919707065035;;;;-0.12226601902278146;0.048327525116086546;0.0227393551108256
HarvestSlattervallTotal;0,034438443782751876;0.18557597846367907;;457358,0070339977;1346448,2678313458;;;;0.119943773271071;0.2495931366159441;0.014417711212860146
HarvestSlattervallForsta;0,03849149899154268;0.196192504932127;;281048,3879423329;790331,7082874492;;;;0.1269836525173274;0.2635003380010465;0.014035628926832877
HarvestSlattervallAttervaxt;0,07312742047728656;0.2704208210868508;;254054,63963963964;664510,0559488088;;;;0.19852608600684193;0.3394209014138747;0.01830854549732872
